Country Code,Hostname,Continent
Albania,al-tia-wg-socks5-001.relays.mullvad.net,Europe
Albania,al-tia-wg-socks5-002.relays.mullvad.net,Europe
Australia,au-adl-wg-socks5-301.relays.mullvad.net,Oceania
Australia,au-adl-wg-socks5-302.relays.mullvad.net,Oceania
Australia,au-bne-wg-socks5-301.relays.mullvad.net,Oceania
Australia,au-bne-wg-socks5-302.relays.mullvad.net,Oceania
Australia,au-mel-wg-socks5-301.relays.mullvad.net,Oceania
Australia,au-mel-wg-socks5-302.relays.mullvad.net,Oceania
Australia,au-per-wg-socks5-301.relays.mullvad.net,Oceania
Australia,au-per-wg-socks5-302.relays.mullvad.net,Oceania
Australia,au-syd-wg-socks5-001.relays.mullvad.net,Oceania
Australia,au-syd-wg-socks5-002.relays.mullvad.net,Oceania
Australia,au-syd-wg-socks5-003.relays.mullvad.net,Oceania
Australia,au-syd-wg-socks5-101.relays.mullvad.net,Oceania
Australia,au-syd-wg-socks5-102.relays.mullvad.net,Oceania
Australia,au-syd-wg-socks5-103.relays.mullvad.net,Oceania
Australia,au-syd-wg-socks5-104.relays.mullvad.net,Oceania
Austria,at-vie-wg-socks5-001.relays.mullvad.net,Europe
Austria,at-vie-wg-socks5-002.relays.mullvad.net,Europe
Austria,at-vie-wg-socks5-003.relays.mullvad.net,Europe
Austria,at-vie-wg-socks5-101.relays.mullvad.net,Europe
Austria,at-vie-wg-socks5-102.relays.mullvad.net,Europe
Belgium,be-bru-wg-socks5-101.relays.mullvad.net,Europe
Belgium,be-bru-wg-socks5-102.relays.mullvad.net,Europe
Belgium,be-bru-wg-socks5-103.relays.mullvad.net,Europe
Brazil,br-sao-wg-socks5-001.relays.mullvad.net,South America
Brazil,br-sao-wg-socks5-201.relays.mullvad.net,South America
Brazil,br-sao-wg-socks5-202.relays.mullvad.net,South America
Bulgaria,bg-sof-wg-socks5-001.relays.mullvad.net,Europe
Bulgaria,bg-sof-wg-socks5-002.relays.mullvad.net,Europe
Canada,ca-yyc-wg-socks5-201.relays.mullvad.net,North America
Canada,ca-yyc-wg-socks5-202.relays.mullvad.net,North America
Canada,ca-mtr-wg-socks5-001.relays.mullvad.net,North America
Canada,ca-mtr-wg-socks5-002.relays.mullvad.net,North America
Canada,ca-mtr-wg-socks5-003.relays.mullvad.net,North America
Canada,ca-mtr-wg-socks5-004.relays.mullvad.net,North America
Canada,ca-tor-wg-socks5-001.relays.mullvad.net,North America
Canada,ca-tor-wg-socks5-002.relays.mullvad.net,North America
Canada,ca-tor-wg-socks5-101.relays.mullvad.net,North America
Canada,ca-tor-wg-socks5-102.relays.mullvad.net,North America
Canada,ca-tor-wg-socks5-103.relays.mullvad.net,North America
Canada,ca-tor-wg-socks5-104.relays.mullvad.net,North America
Canada,ca-tor-wg-socks5-105.relays.mullvad.net,North America
Canada,ca-tor-wg-socks5-106.relays.mullvad.net,North America
Canada,ca-tor-wg-socks5-107.relays.mullvad.net,North America
Canada,ca-tor-wg-socks5-201.relays.mullvad.net,North America
Canada,ca-tor-wg-socks5-202.relays.mullvad.net,North America
Canada,ca-tor-wg-socks5-203.relays.mullvad.net,North America
Canada,ca-tor-wg-socks5-204.relays.mullvad.net,North America
Canada,ca-tor-wg-socks5-205.relays.mullvad.net,North America
Canada,ca-tor-wg-socks5-206.relays.mullvad.net,North America
Canada,ca-tor-wg-socks5-207.relays.mullvad.net,North America
Canada,ca-van-wg-socks5-201.relays.mullvad.net,North America
Canada,ca-van-wg-socks5-202.relays.mullvad.net,North America
Canada,ca-van-wg-socks5-301.relays.mullvad.net,North America
Canada,ca-van-wg-socks5-302.relays.mullvad.net,North America
Chile,cl-scl-wg-socks5-001.relays.mullvad.net,South America
Chile,cl-scl-wg-socks5-002.relays.mullvad.net,South America
Colombia,co-bog-wg-socks5-001.relays.mullvad.net,South America
Colombia,co-bog-wg-socks5-002.relays.mullvad.net,South America
Croatia,hr-zag-wg-socks5-001.relays.mullvad.net,Europe
Croatia,hr-zag-wg-socks5-002.relays.mullvad.net,Europe
Cyprus,cy-nic-wg-socks5-001.relays.mullvad.net,Europe
Cyprus,cy-nic-wg-socks5-002.relays.mullvad.net,Europe
Czech Republic,cz-prg-wg-socks5-101.relays.mullvad.net,Europe
Czech Republic,cz-prg-wg-socks5-102.relays.mullvad.net,Europe
Czech Republic,cz-prg-wg-socks5-201.relays.mullvad.net,Europe
Czech Republic,cz-prg-wg-socks5-202.relays.mullvad.net,Europe
Denmark,dk-cph-wg-socks5-001.relays.mullvad.net,Europe
Denmark,dk-cph-wg-socks5-002.relays.mullvad.net,Europe
Denmark,dk-cph-wg-socks5-401.relays.mullvad.net,Europe
Denmark,dk-cph-wg-socks5-402.relays.mullvad.net,Europe
Estonia,ee-tll-wg-socks5-001.relays.mullvad.net,Europe
Estonia,ee-tll-wg-socks5-002.relays.mullvad.net,Europe
Estonia,ee-tll-wg-socks5-003.relays.mullvad.net,Europe
Finland,fi-hel-wg-socks5-001.relays.mullvad.net,Europe
Finland,fi-hel-wg-socks5-002.relays.mullvad.net,Europe
Finland,fi-hel-wg-socks5-003.relays.mullvad.net,Europe
Finland,fi-hel-wg-socks5-101.relays.mullvad.net,Europe
Finland,fi-hel-wg-socks5-102.relays.mullvad.net,Europe
Finland,fi-hel-wg-socks5-103.relays.mullvad.net,Europe
Finland,fi-hel-wg-socks5-104.relays.mullvad.net,Europe
France,fr-bod-wg-socks5-002.relays.mullvad.net,Europe
France,fr-mrs-wg-socks5-001.relays.mullvad.net,Europe
France,fr-mrs-wg-socks5-002.relays.mullvad.net,Europe
France,fr-par-wg-socks5-001.relays.mullvad.net,Europe
France,fr-par-wg-socks5-002.relays.mullvad.net,Europe
France,fr-par-wg-socks5-003.relays.mullvad.net,Europe
France,fr-par-wg-socks5-004.relays.mullvad.net,Europe
France,fr-par-wg-socks5-005.relays.mullvad.net,Europe
France,fr-par-wg-socks5-006.relays.mullvad.net,Europe
France,fr-par-wg-socks5-007.relays.mullvad.net,Europe
France,fr-par-wg-socks5-101.relays.mullvad.net,Europe
France,fr-par-wg-socks5-102.relays.mullvad.net,Europe
France,fr-par-wg-socks5-301.relays.mullvad.net,Europe
France,fr-par-wg-socks5-302.relays.mullvad.net,Europe
Germany,de-ber-wg-socks5-001.relays.mullvad.net,Europe
Germany,de-ber-wg-socks5-002.relays.mullvad.net,Europe
Germany,de-ber-wg-socks5-003.relays.mullvad.net,Europe
Germany,de-ber-wg-socks5-004.relays.mullvad.net,Europe
Germany,de-ber-wg-socks5-005.relays.mullvad.net,Europe
Germany,de-ber-wg-socks5-006.relays.mullvad.net,Europe
Germany,de-ber-wg-socks5-007.relays.mullvad.net,Europe
Germany,de-ber-wg-socks5-008.relays.mullvad.net,Europe
Germany,de-dus-wg-socks5-001.relays.mullvad.net,Europe
Germany,de-dus-wg-socks5-002.relays.mullvad.net,Europe
Germany,de-dus-wg-socks5-003.relays.mullvad.net,Europe
Germany,de-fra-wg-socks5-001.relays.mullvad.net,Europe
Germany,de-fra-wg-socks5-002.relays.mullvad.net,Europe
Germany,de-fra-wg-socks5-003.relays.mullvad.net,Europe
Germany,de-fra-wg-socks5-004.relays.mullvad.net,Europe
Germany,de-fra-wg-socks5-005.relays.mullvad.net,Europe
Germany,de-fra-wg-socks5-006.relays.mullvad.net,Europe
Germany,de-fra-wg-socks5-007.relays.mullvad.net,Europe
Germany,de-fra-wg-socks5-009.relays.mullvad.net,Europe
Germany,de-fra-wg-socks5-101.relays.mullvad.net,Europe
Germany,de-fra-wg-socks5-102.relays.mullvad.net,Europe
Germany,de-fra-wg-socks5-103.relays.mullvad.net,Europe
Germany,de-fra-wg-socks5-104.relays.mullvad.net,Europe
Germany,de-fra-wg-socks5-105.relays.mullvad.net,Europe
Germany,de-fra-wg-socks5-106.relays.mullvad.net,Europe
Germany,de-fra-wg-socks5-301.relays.mullvad.net,Europe
Germany,de-fra-wg-socks5-302.relays.mullvad.net,Europe
Germany,de-fra-wg-socks5-304.relays.mullvad.net,Europe
Germany,de-fra-wg-socks5-401.relays.mullvad.net,Europe
Germany,de-fra-wg-socks5-402.relays.mullvad.net,Europe
Germany,de-fra-wg-socks5-403.relays.mullvad.net,Europe
Greece,gr-ath-wg-socks5-101.relays.mullvad.net,Europe
Greece,gr-ath-wg-socks5-102.relays.mullvad.net,Europe
Hong Kong,hk-hkg-wg-socks5-201.relays.mullvad.net,Asia
Hong Kong,hk-hkg-wg-socks5-202.relays.mullvad.net,Asia
Hong Kong,hk-hkg-wg-socks5-301.relays.mullvad.net,Asia
Hong Kong,hk-hkg-wg-socks5-302.relays.mullvad.net,Asia
Hungary,hu-bud-wg-socks5-101.relays.mullvad.net,Europe
Hungary,hu-bud-wg-socks5-102.relays.mullvad.net,Europe
Hungary,hu-bud-wg-socks5-201.relays.mullvad.net,Europe
Hungary,hu-bud-wg-socks5-202.relays.mullvad.net,Europe
Indonesia,id-jpu-wg-socks5-001.relays.mullvad.net,Asia
Indonesia,id-jpu-wg-socks5-002.relays.mullvad.net,Asia
Ireland,ie-dub-wg-socks5-101.relays.mullvad.net,Europe
Ireland,ie-dub-wg-socks5-102.relays.mullvad.net,Europe
Israel,il-tlv-wg-socks5-101.relays.mullvad.net,Asia
Israel,il-tlv-wg-socks5-102.relays.mullvad.net,Asia
Israel,il-tlv-wg-socks5-103.relays.mullvad.net,Asia
Italy,it-mil-wg-socks5-001.relays.mullvad.net,Europe
Italy,it-mil-wg-socks5-002.relays.mullvad.net,Europe
Italy,it-mil-wg-socks5-003.relays.mullvad.net,Europe
Italy,it-mil-wg-socks5-201.relays.mullvad.net,Europe
Italy,it-mil-wg-socks5-202.relays.mullvad.net,Europe
Italy,it-pmo-wg-socks5-001.relays.mullvad.net,Europe
Italy,it-pmo-wg-socks5-002.relays.mullvad.net,Europe
Japan,jp-osa-wg-socks5-001.relays.mullvad.net,Asia
Japan,jp-osa-wg-socks5-002.relays.mullvad.net,Asia
Japan,jp-osa-wg-socks5-003.relays.mullvad.net,Asia
Japan,jp-osa-wg-socks5-004.relays.mullvad.net,Asia
Japan,jp-tyo-wg-socks5-001.relays.mullvad.net,Asia
Japan,jp-tyo-wg-socks5-002.relays.mullvad.net,Asia
Japan,jp-tyo-wg-socks5-201.relays.mullvad.net,Asia
Japan,jp-tyo-wg-socks5-202.relays.mullvad.net,Asia
Japan,jp-tyo-wg-socks5-203.relays.mullvad.net,Asia
Malaysia,my-kul-wg-socks5-001.relays.mullvad.net,Asia
Malaysia,my-kul-wg-socks5-002.relays.mullvad.net,Asia
Mexico,mx-qro-wg-socks5-001.relays.mullvad.net,North America
Mexico,mx-qro-wg-socks5-002.relays.mullvad.net,North America
Mexico,mx-qro-wg-socks5-003.relays.mullvad.net,North America
Mexico,mx-qro-wg-socks5-004.relays.mullvad.net,North America
Netherlands,nl-ams-wg-socks5-001.relays.mullvad.net,Europe
Netherlands,nl-ams-wg-socks5-002.relays.mullvad.net,Europe
Netherlands,nl-ams-wg-socks5-003.relays.mullvad.net,Europe
Netherlands,nl-ams-wg-socks5-004.relays.mullvad.net,Europe
Netherlands,nl-ams-wg-socks5-005.relays.mullvad.net,Europe
Netherlands,nl-ams-wg-socks5-006.relays.mullvad.net,Europe
Netherlands,nl-ams-wg-socks5-007.relays.mullvad.net,Europe
Netherlands,nl-ams-wg-socks5-008.relays.mullvad.net,Europe
Netherlands,nl-ams-wg-socks5-101.relays.mullvad.net,Europe
Netherlands,nl-ams-wg-socks5-102.relays.mullvad.net,Europe
Netherlands,nl-ams-wg-socks5-103.relays.mullvad.net,Europe
Netherlands,nl-ams-wg-socks5-201.relays.mullvad.net,Europe
Netherlands,nl-ams-wg-socks5-202.relays.mullvad.net,Europe
Netherlands,nl-ams-wg-socks5-203.relays.mullvad.net,Europe
New Zealand,nz-akl-wg-socks5-301.relays.mullvad.net,Oceania
New Zealand,nz-akl-wg-socks5-302.relays.mullvad.net,Oceania
Nigeria,ng-los-wg-socks5-001.relays.mullvad.net,Africa
Nigeria,ng-los-wg-socks5-002.relays.mullvad.net,Africa
Norway,no-osl-wg-socks5-001.relays.mullvad.net,Europe
Norway,no-osl-wg-socks5-002.relays.mullvad.net,Europe
Norway,no-osl-wg-socks5-003.relays.mullvad.net,Europe
Norway,no-osl-wg-socks5-004.relays.mullvad.net,Europe
Norway,no-osl-wg-socks5-005.relays.mullvad.net,Europe
Norway,no-osl-wg-socks5-006.relays.mullvad.net,Europe
Norway,no-osl-wg-socks5-007.relays.mullvad.net,Europe
Norway,no-osl-wg-socks5-008.relays.mullvad.net,Europe
Norway,no-svg-wg-socks5-001.relays.mullvad.net,Europe
Norway,no-svg-wg-socks5-002.relays.mullvad.net,Europe
Norway,no-svg-wg-socks5-003.relays.mullvad.net,Europe
Norway,no-svg-wg-socks5-004.relays.mullvad.net,Europe
Peru,pe-lim-wg-socks5-001.relays.mullvad.net,South America
Peru,pe-lim-wg-socks5-002.relays.mullvad.net,South America
Philippines,ph-mnl-wg-socks5-001.relays.mullvad.net,Asia
Philippines,ph-mnl-wg-socks5-002.relays.mullvad.net,Asia
Poland,pl-waw-wg-socks5-101.relays.mullvad.net,Europe
Poland,pl-waw-wg-socks5-102.relays.mullvad.net,Europe
Poland,pl-waw-wg-socks5-103.relays.mullvad.net,Europe
Poland,pl-waw-wg-socks5-201.relays.mullvad.net,Europe
Poland,pl-waw-wg-socks5-202.relays.mullvad.net,Europe
Portugal,pt-lis-wg-socks5-201.relays.mullvad.net,Europe
Portugal,pt-lis-wg-socks5-202.relays.mullvad.net,Europe
Portugal,pt-lis-wg-socks5-301.relays.mullvad.net,Europe
Portugal,pt-lis-wg-socks5-302.relays.mullvad.net,Europe
Romania,ro-buh-wg-socks5-001.relays.mullvad.net,Europe
